Exercise,Left Wrist Angle,Right Wrist Angle,Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Heel Angle,Right Heel Angle,Left Foot Index Angle,Right Foot Index Angle,label
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1309104148679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.46596133682023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.86508780702951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84091262287647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.87859092075551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44875521003691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.30700265847234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7750094152745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.24307289432683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,0,0,0,0,96.61086681,97.15656508,111.7660475,111.7660475,0,0,0,0,0,0,1
2,0,0,0,0,0,0,109.1837158,109.1837158,93.70593915,95.23526356,0,0,0,0,0,0,1
2,0,0,0,0,0,0,99.01962886,99.01962886,83.40862331,85.04558292,0,0,0,0,0,0,1
2,0,0,0,0,0,0,96.59114984,96.59114984,83.47825067,83.57706843,0,0,0,0,0,0,1
2,0,0,0,0,0,0,96.13781823,96.13781823,85.39762049,87.23322857,0,0,0,0,0,0,1
2,0,0,0,0,0,0,97.43267146,97.43267146,87.52048092,90.07241761,0,0,0,0,0,0,1
2,0,0,0,0,0,0,98.71220596,98.71220596,88.97619276,93.53003052,0,0,0,0,0,0,1
2,0,0,0,0,0,0,102.3833255,102.3833255,91.71642191,96.77293854,0,0,0,0,0,0,1
2,0,0,0,0,0,0,105.9038518,105.9038518,95.5739846,98.29982237,0,0,0,0,0,0,1
2,0,0,0,0,0,0,93.72596541,93.72596541,84.7207851,84.91957706,0,0,0,0,0,0,1
2,0,0,0,0,0,0,91.5711968,91.5711968,82.56346237,86.25156454,0,0,0,0,0,0,1
2,0,0,0,0,0,0,90.53330143,90.53330143,81.8858745,87.26459061,0,0,0,0,0,0,1
2,0,0,0,0,0,0,90.41526729,90.41526729,82.00240566,86.42890329,0,0,0,0,0,0,1
2,0,0,0,0,0,0,89.58388439,89.58388439,80.06496335,87.06703421,0,0,0,0,0,0,1
2,0,0,0,0,0,0,88.32026846,88.32026846,78.18003965,86.16182148,0,0,0,0,0,0,1
2,0,0,0,0,0,0,87.01148964,87.01148964,77.84527812,85.5140871,0,0,0,0,0,0,1
2,0,0,0,0,0,0,86.58495742,86.58495742,76.8818066,85.19452776,0,0,0,0,0,0,1
2,0,0,0,0,0,0,86.92748573,86.92748573,76.87540117,85.15282353,0,0,0,0,0,0,1
2,0,0,0,0,0,0,86.47561064,86.47561064,76.43709775,85.30535067,0,0,0,0,0,0,1
2,0,0,0,0,0,0,87.1919316,87.1919316,77.45858264,85.65475686,0,0,0,0,0,0,1
2,0,0,0,0,0,0,88.22213511,88.22213511,78.60793795,86.61113542,0,0,0,0,0,0,1
2,0,0,0,0,0,0,96.36539622,96.36539622,89.29963011,92.56275061,0,0,0,0,0,0,1
2,0,0,0,0,0,0,103.1376124,103.1376124,98.98363707,90.57841471,0,0,0,0,0,0,1
2,0,0,0,0,0,0,101.3983063,101.3983063,99.95168219,91.15229295,0,0,0,0,0,0,1
